From Date,To Date,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Eth-Benzene,MP-Xylene,O-Xylene,Temp,RH,WS,WD,SR
01-01-2024 00:00,01-01-2024 01:00,216.03,301.02,10.66,39.73,29.73,26.57,6.26,2.7,16.36,6.12,11.94,8.6,4.07,3.3,11.54,81.38,0.51,168.32,4.75
01-01-2024 01:00,01-01-2024 02:00,197.12,281.95,13.5,36.25,30.14,25.57,8.06,1.89,18.48,6.03,12.19,8.55,3.97,3.36,11.43,81.9,0.45,177.28,4.95
01-01-2024 02:00,01-01-2024 03:00,186.7,267.88,9.42,40.24,28.44,25.94,9.06,1.87,15.21,25.77,19.48,16.57,11.42,11.58,11.52,81,0.31,207.41,5.15
01-01-2024 03:00,01-01-2024 04:00,190.65,255.03,16.1,36.35,32.43,28.04,8.98,1.92,18.59,26.5,20.89,17.52,12.07,11.2,11.47,81.3,0.37,250.74,4.93
01-01-2024 04:00,01-01-2024 05:00,184.43,243.97,13.62,36.5,30.26,31.24,7.78,2.65,16.33,8.66,8.87,6,4.56,4.98,11.16,80.9,0.55,349.76,4.83
01-01-2024 05:00,01-01-2024 06:00,180.85,234.88,6.18,35.85,23.59,31.45,7.85,2.6,17.34,3.52,6.19,2.17,2.12,2.69,10.77,82,0.6,167.65,4.83
01-01-2024 06:00,01-01-2024 07:00,170.8,236.95,9.63,30.85,22.7,32.56,6.34,2.67,21.55,3.45,5.89,2.19,2.22,2.71,10.43,82.83,0.48,176.26,4.8
01-01-2024 07:00,01-01-2024 08:00,155.38,226.83,11.77,30.28,25.21,32.59,5.81,2.71,27.91,2.86,5.04,1.71,1.63,1.84,10.07,84.03,0.65,260.17,7.12
01-01-2024 08:00,01-01-2024 09:00,146.47,208.5,8.63,30.35,19.04,32.01,1.8,0.99,27.49,2.67,4.5,1.53,1.49,1.55,10.2,83.65,0.33,115.75,15.93
01-01-2024 09:00,01-01-2024 10:00,160.28,208.55,14.85,32.21,29.16,32.02,8.15,0.99,27.43,2.64,4.41,1.52,1.46,1.58,10.55,81.22,0.28,84.77,32.38
01-01-2024 10:00,01-01-2024 11:00,151.53,226.68,10.22,32.89,25.17,31.91,9.16,1,23.85,2.68,4.44,1.51,1.49,1.54,11.41,76.17,0.34,148.24,70.03
01-01-2024 11:00,01-01-2024 12:00,152.43,218.3,18.02,32.11,30.64,31.41,5.78,1,25.59,2.7,4.4,1.56,1.48,1.54,12.26,71.97,0.51,327.24,107.67
01-01-2024 12:00,01-01-2024 13:00,154.05,231.33,6.58,39.66,25.95,31.11,2.38,1.01,33.59,2.65,4.48,1.54,1.46,1.53,12.71,70,0.8,305.54,141.75
01-01-2024 13:00,01-01-2024 14:00,171.75,285.92,8.84,34.21,24.52,33.04,7.88,0.79,33.2,2.29,3.53,1.14,1.76,1.89,13.33,67.38,0.9,309.04,227.8
01-01-2024 14:00,01-01-2024 15:00,180.62,255.5,12.15,31.5,26.32,24.53,9.02,0.77,29.03,2.15,3.24,1,1.88,2.03,13.24,68.28,1.03,313.04,192.85
01-01-2024 15:00,01-01-2024 16:00,157.15,257.83,15.39,30.71,28.74,26.39,6.81,0.77,40.7,2.12,3.31,1.02,1.88,2.03,12.79,70.12,1.1,258.93,107.15
01-01-2024 16:00,01-01-2024 17:00,142.65,188.95,8.5,26.38,18.86,25.85,5.68,0.73,37.86,2.12,3.31,1,1.88,2.02,11.66,74.97,1.25,349.21,40.8
01-01-2024 17:00,01-01-2024 18:00,136.82,177.27,4.39,29.72,17.85,25.86,6.58,0.99,28.84,2.06,3.27,0.99,1.81,1.95,10.51,79.92,1.12,353.74,8.02
01-01-2024 18:00,01-01-2024 19:00,None,None,9.88,32.41,25.03,27.17,4.63,1,25.44,9.07,12.96,4.43,5.73,4.77,9.96,82.3,1.07,354.3,4.25
01-01-2024 19:00,01-01-2024 20:00,None,None,12.69,29.38,24.98,36.58,6.97,0.97,28.62,11.27,17.29,5.7,7.42,6.06,10.09,81.78,0.86,95.58,5.55
01-01-2024 20:00,01-01-2024 21:00,243.37,379.7,12.58,33.58,28.09,35.93,2.92,1.46,28.73,10.9,17.26,5.51,7.21,5.99,10.05,81.8,0.65,170.26,4.75
